stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
ADSL,Allied Digital Services Limited,EQ,25-Jul-07,INE102I01027,,#N/A,Talbros Auto,Auto Ancillaries,149,0.25,0.17,184,Automotive
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,BE,25-Jun-07,INE199C01026,,#N/A,Steel Str Wheel,Auto Ancillaries,515.3,0.7,0.14,804,Automotive
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,1-Aug-16,INE837H01020,,#N/A,FIEM Ind,Auto Ancillaries,538.85,0.65,0.12,709,Automotive
AEGISCHEM,Aegis Logistics Limited,EQ,3-Apr-96,INE208C01025,,#N/A,India Nippon,Auto Ancillaries,356.55,0.4,0.11,807,Automotive
AFFLE,Affle (India) Limited,EQ,8-Aug-19,INE00WC01019,,#N/A,Ashok Leyland,Auto - LCVs & HCVs,94.2,0.1,0.11,"27,653",Automotive
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-14,INE204E01012,,#N/A,Atul Auto,Auto - 2 & 3 Wheelers,190.65,0.2,0.11,418,Automotive
AGCNET,AGC Networks Limited,BE,22-Jul-03,INE676A01019,,#N/A,VST Tillers,Auto - Tractors,1904,0.65,0.03,"1,645",Automotive
AGRITECH,Agri-Tech (India) Limited,EQ,28-Jan-14,INE449G01018,,#N/A,Exide Ind,Auto Ancillaries,193.7,0,0,"16,465",Automotive
AGROPHOS,Agro Phos India Limited,EQ,8-Mar-19,INE740V01019,,#N/A,JMT Auto,Auto Ancillaries,2.7,0,0,136,Automotive
AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-10,INE926K01017,,#N/A,Endurance Techn,Auto - 2 & 3 Wheelers,1163.15,-0.05,0,"16,361",Automotive
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,INE758C01029,,#N/A,Sundaram Brake,Auto Ancillaries,304.6,-0.15,-0.05,120,Automotive
AHLWEST,Asian Hotels (West) Limited,EQ,5-Aug-10,INE915K01010,,#N/A,PTL Enterprises,Tyres,43.8,-0.05,-0.11,290,Automotive
AIAENG,AIA Engineering Limited,EQ,14-Dec-05,INE212H01026,,MRF Limited,MRF,Tyres,77767.95,-110.4,-0.14,"32,982",Automotive
AIRAN,Airan Limited,EQ,3-May-19,INE645W01026,,#N/A,Elgi Rubber,Tyres,23.85,-0.05,-0.21,119,Automotive
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-00,INE031B01049,,#N/A,Jay BharatMarut,Auto Ancillaries,250.5,-0.55,-0.22,542,Automotive
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-Jun-09,INE298G01027,,#N/A,Tata Motors,Auto - LCVs & HCVs,178.4,-0.45,-0.25,"55,107",Automotive
AKASH,Akash Infra-Projects Limited,EQ,11-Oct-19,INE737W01013,,#N/A,Lumax Inds,Auto Ancillaries,1372.35,-4.85,-0.35,"1,283",Automotive
AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-17,INE542B01011,,#N/A,Minda Ind,Auto Ancillaries,385,-1.4,-0.36,"10,469",Automotive
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-Aug-00,INE523B01011,,#N/A,JK Tyre & Ind,Tyres,82.3,-0.35,-0.42,"2,026",Automotive
AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-01,INE133A01011,,#N/A,Maruti Suzuki,Auto - Cars & Jeeps,7700,-33.55,-0.43,"232,602",Automotive
ALANKIT,Alankit Limited,EQ,30-Jun-15,INE914E01040,,#N/A,Mah Scooters,Auto - 2 & 3 Wheelers,3612,-15.8,-0.44,"4,128",Automotive
ALBERTDAVD,Albert David Limited,EQ,14-Jun-16,INE155C01010,,#N/A,TVS Motor,Auto - 2 & 3 Wheelers,481.85,-2.35,-0.49,"22,892",Automotive
ALCHEM,Alchemist Limited,EQ,31-Jul-07,INE964B01033,,#N/A,Suprajit Eng,Auto Ancillaries,201.55,-1,-0.49,"2,819",Automotive
ALEMBICLTD,Alembic Limited,EQ,22-Sep-99,INE426A01027,,#N/A,Bosch,Auto Ancillaries,13094,-69.1,-0.52,"38,619",Automotive
ALICON,Alicon Castalloy Limited,EQ,29-Sep-06,INE062D01024,,#N/A,Automotive Axle,Auto Ancillaries,905,-4.9,-0.54,"1,368",Automotive
ALKALI,Alkali Metals Limited,EQ,6-Nov-08,INE773I01017,,#N/A,Amara Raja Batt,Auto Ancillaries,926.85,-6.85,-0.73,"15,832",Automotive
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-15,INE540L01014,,#N/A,Ndr Auto Compon,,200.15,-1.75,-0.87,119,Automotive
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-07,INE150B01021,,Mahindra & Mahindra Limited,M&M,Auto - Cars & Jeeps,720,-7.55,-1.04,"89,510",Automotive
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-06,INE418H01029,,#N/A,Bajaj Auto,Auto - 2 & 3 Wheelers,3292.65,-35,-1.05,"95,278",Automotive
ALLSEC,Allsec Technologies Limited,EQ,9-May-05,INE835G01018,,#N/A,Auto Stampings,Auto Ancillaries,26.9,-0.3,-1.1,43,Automotive
ALMONDZ,Almondz Global Securities Limited,EQ,16-Jun-08,INE326B01027,,#N/A,SML Isuzu,Auto - LCVs & HCVs,472.9,-5.75,-1.2,684,Automotive
ALOKINDS,Alok Industries Limited,EQ,19-Feb-20,INE270A01029,,Escorts Limited,Escorts,Auto - Tractors,1342.1,-18.95,-1.39,"18,096",Automotive
ALPA,Alpa Laboratories Limited,BE,6-Aug-07,INE385I01010,,#N/A,The Hi-Tech Gea,Auto Ancillaries,156.25,-2.45,-1.54,293,Automotive
ALPHAGEO,Alphageo (India) Limited,BE,11-May-07,INE137C01018,,#N/A,Balkrishna Ind,Tyres,1639.35,-26.35,-1.58,"31,691",Automotive
ALPSINDUS,Alps Industries Limited,EQ,24-Apr-96,INE093B01015,,#N/A,Eicher Motors,Auto - LCVs & HCVs,2428.5,-42.3,-1.71,"66,360",Automotive
AMARAJABAT,Amara Raja Batteries Limited,EQ,5-Sep-03,INE885A01032,,#N/A,Force Motors,Auto - LCVs & HCVs,1401.4,-25.2,-1.77,"1,847",Automotive
AMBER,Amber Enterprises India Limited,EQ,30-Jan-18,INE371P01015,,#N/A,Hero Motocorp,Auto - 2 & 3 Wheelers,3123.05,-62.25,-1.95,"62,388",Automotive
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-Jan-08,INE540G01014,,#N/A,TVS Srichakra,Tyres,2026,-42.85,-2.07,"1,551",Automotive
AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-98,INE079A01024,,#N/A,Bharat Gears,Auto Ancillaries,80.55,-3.7,-4.39,75,Automotive
AMDIND,AMD Industries Limited,EQ,19-Mar-07,INE005I01014,,#N/A,Autoline Ind,Auto Ancillaries,33.9,-1.75,-4.91,96,Automotive
AMJLAND,Amj Land Holdings Limited,EQ,8-Feb-95,INE606A01024,,#N/A,Castex Tech,Auto Ancillaries,0.35,-0.05,-12.5,13,Automotive
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,2-Jan-15,INE098F01031,,#N/A,Coral India Fin,Finance - Housing,31.35,5.2,19.89,126,Banking/Finance
ANANTRAJ,Anant Raj Limited,EQ,27-Sep-06,INE242C01024,,#N/A,McDowell Hold,Finance - Investments,37.7,4.2,12.54,53,Banking/Finance
ANDHRACEMT,Andhra Cements Limited,EQ,8-Nov-10,INE666E01012,,#N/A,Signet Ind,Finance - Investments,27.75,2.65,10.56,82,Banking/Finance
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-04,INE435A01028,,#N/A,Arihant Super,Construction & Contracting - Real Estate,34.25,2.9,9.25,141,Banking/Finance
ANDHRSUGAR,The Andhra Sugars Limited,EQ,1-Nov-95,INE715B01013,,Sundaram Multi Pap Limited,Sundaram,Finance - General,64,4.2,7.02,967,Banking/Finance
ANGELBRKG,Angel Broking Limited,EQ,5-Oct-20,INE732I01013,,#N/A,Keynote Finance,Finance - General,94.05,4.45,4.97,66,Banking/Finance
ANIKINDS,Anik Industries Limited,EQ,21-May-08,INE087B01017,,#N/A,Urja Global,Trading,5.35,0.25,4.9,271,Banking/Finance
ANKITMETAL,Ankit Metal & Power Limited,EQ,14-Mar-13,INE106I01010,,#N/A,Industrial Inv,Finance - Investments,88.1,4.05,4.82,199,Banking/Finance
ANSALAPI,Ansal Properties & Infrastructure Limited,EQ,27-Jan-06,INE436A01026,,#N/A,Rel Capital,Finance - Investments,13.1,0.6,4.8,331,Banking/Finance
ANSALHSG,Ansal Housing Limited,EQ,6-Oct-06,INE880B01015,,#N/A,Tata Inv Corp,Finance - Investments,1037.1,39.15,3.92,"5,247",Banking/Finance
ANUP,The Anup Engineering Limited,EQ,1-Mar-19,INE294Z01018,,#N/A,Federal Bank,Banks - Private Sector,68.8,2.55,3.85,"13,731",Banking/Finance
APARINDS,Apar Industries Limited,EQ,12-Jul-04,INE372A01015,,#N/A,Reliance Home F,Finance - Housing,2.85,0.1,3.64,138,Banking/Finance
APCL,Anjani Portland Cement Limited,EQ,10-Apr-17,INE071F01012,,#N/A,Delta Corp,Construction & Contracting - Real Estate,162,5.45,3.48,"4,323",Banking/Finance
APCOTEXIND,Apcotex Industries Limited,EQ,6-Sep-95,INE116A01032,,#N/A,LIC Housing Fin,Finance - Housing,365.45,12.15,3.44,"18,443",Banking/Finance
APEX,Apex Frozen Foods Limited,EQ,4-Sep-17,INE346W01013,,#N/A,Jindal Poly Inv,Finance - General,19.9,0.65,3.38,21,Banking/Finance
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-11,INE702C01019,,#N/A,EBIXCASH WORLD,Finance - Investments,528.5,15.25,2.97,588,Banking/Finance
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,INE901L01018,,#N/A,Arman Financial,Finance - Leasing & Hire Purchase,681,19.6,2.96,578,Banking/Finance
APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-18,INE713T01010,,#N/A,AAVAS Financier,Finance - General,1714.3,48.55,2.91,"13,438",Banking/Finance
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,INE437A01024,,#N/A,Dhunseri Invest,Finance - General,268.7,7.55,2.89,164,Banking/Finance
APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-19,INE126J01016,,#N/A,REC,Finance - Term Lending Institutions,139.95,3.8,2.79,"27,639",Banking/Finance
APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-95,INE438A01022,,#N/A,Power Finance,Finance - Term Lending Institutions,120.35,3,2.56,"31,773",Banking/Finance
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-15,INE451F01024,,#N/A,DCB Bank,Banks - Private Sector,119.7,2.9,2.48,"3,716",Banking/Finance
APTECHT,Aptech Limited,EQ,27-Sep-02,INE266F01018,,#N/A,Geojit Fin,Finance - General,56.75,1.35,2.44,"1,352",Banking/Finance
ARCHIDPLY,Archidply Industries Limited,EQ,4-Jul-08,INE877I01016,,#N/A,CPSE ETF,Finance - Investments,20.96,0.47,2.29,"3,603",Banking/Finance
ARCHIES,Archies Limited,EQ,2-Sep-98,INE731A01020,,#N/A,VLS Finance,Finance - Leasing & Hire Purchase,66.95,1.4,2.14,259,Banking/Finance
ARCOTECH,Arcotech Limited,EQ,16-Apr-14,INE574I01035,,#N/A,Inventure Grow,Finance - Investments,24.5,0.5,2.08,206,Banking/Finance
ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-95,INE610C01014,,#N/A,Indbank Merchan,Finance - General,12.3,0.25,2.07,55,Banking/Finance
ARIES,Aries Agro Limited,EQ,11-Jan-08,INE298I01015,,#N/A,Bank of Baroda,Banks - Public Sector,66.8,1.35,2.06,"30,865",Banking/Finance
ARIHANT,Arihant Foundations & Housing Limited,EQ,26-Dec-06,INE413D01011,,#N/A,Central Bank,Banks - Public Sector,15.2,0.3,2.01,"8,931",Banking/Finance
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-Mar-17,INE643K01018,,#N/A,Dhani Services,Finance - Investments,284.9,5.55,1.99,"17,349",Banking/Finance
ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-16,INE109C01017,,#N/A,Union Bank,Banks - Public Sector,33.8,0.65,1.96,"21,655",Banking/Finance
AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-07,INE210C01013,,#N/A,Indian Bank,Banks - Public Sector,87.6,1.65,1.92,"9,893",Banking/Finance
ARROWGREEN,Arrow Greentech Limited,EQ,21-May-15,INE570D01018,,#N/A,Maha Rasht Apex,Finance - Leasing & Hire Purchase,87.1,1.6,1.87,123,Banking/Finance
ARSHIYA,Arshiya Limited,EQ,14-Dec-09,INE968D01022,,#N/A,Bank of India,Banks - Public Sector,52.1,0.95,1.86,"17,073",Banking/Finance
ARSSINFRA,ARSS Infrastructure Projects Limited,EQ,3-Mar-10,INE267I01010,,#N/A,Shriram City,Finance - Leasing & Hire Purchase,1065,19.25,1.84,"7,029",Banking/Finance
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-20,INE025R01013,,IDFC Limited,IDFC,Finance - Term Lending Institutions,39.65,0.7,1.8,"6,330",Banking/Finance
ARVIND,Arvind Limited,EQ,8-Feb-95,INE034A01011,,#N/A,Indostar Capita,Finance - General,325.2,5.65,1.77,"4,012",Banking/Finance
ARVINDFASN,Arvind Fashions Limited,EQ,8-Mar-19,INE955V01021,,#N/A,Dolat Investmen,Finance - Investments,47.25,0.8,1.72,832,Banking/Finance
ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-15,INE034S01021,,#N/A,Muthoot Finance,Finance - Investments,1192.85,19.85,1.69,"47,854",Banking/Finance
ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-98,INE439A01020,,#N/A,GIC Housing Fin,Finance - Housing,115.95,1.85,1.62,624,Banking/Finance
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-Aug-11,INE228I01012,,Punjab National Bank,PNB,Banks - Public Sector,41.15,0.65,1.6,"38,725",Banking/Finance
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-02,INE900C01027,,#N/A,The Investment,Finance - General,156.85,2.45,1.59,800,Banking/Finance
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-20,INE073G01016,,#N/A,Shriram Trans,Finance - Leasing & Hire Purchase,1059.2,15.95,1.53,"26,804",Banking/Finance
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-95,INE348A01023,,#N/A,ICICI Bank,Banks - Private Sector,523.2,7.75,1.5,"361,082",Banking/Finance
ASHIANA,Ashiana Housing Limited,EQ,29-Jun-11,INE365D01021,,#N/A,Equitas Holding,Finance - General,69.9,1,1.45,"2,389",Banking/Finance
ASHIMASYN,Ashima Limited,BE,27-Jul-95,INE440A01010,,Edelweiss Financial Services Limited,Edelweiss,Finance - General,75.9,1.05,1.4,"7,096",Banking/Finance
ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-10,INE442H01029,,#N/A,BF Investment,Finance - Investments,298.5,3.75,1.27,"1,124",Banking/Finance
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-95,INE208A01029,,#N/A,Lakshmi Finance,Finance - General,66.05,0.8,1.23,20,Banking/Finance
ASIANHOTNR,Asian Hotels (North) Limited,EQ,7-Apr-10,INE363A01022,,#N/A,SBI,Banks - Public Sector,275.65,3.2,1.17,"246,007",Banking/Finance
ASIANPAINT,Asian Paints Limited,EQ,31-May-95,INE021A01026,,#N/A,Future Consumer,Food Processing,8.9,0.1,1.14,"1,710",Banking/Finance
ASIANTILES,Asian Granito India Limited,EQ,23-Aug-07,INE022I01019,,#N/A,Karnataka Bank,Banks - Private Sector,58.35,0.65,1.13,"1,814",Banking/Finance
ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-16,INE991I01015,,#N/A,IIFL Finance,Finance - General,118.45,1.3,1.11,"4,483",Banking/Finance
ASTEC,Astec LifeSciences Limited,EQ,25-Nov-09,INE563J01010,,#N/A,IDFC First Bank,Banks - Private Sector,37.85,0.4,1.07,"21,470",Banking/Finance
ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-18,INE914M01019,,#N/A,Punjab & Sind,Banks - Public Sector,14.45,0.15,1.05,"1,013",Banking/Finance
ASTRAL,Astral Poly Technik Limited,EQ,20-Mar-07,INE006I01046,,#N/A,Ujjivan Financi,Finance - General,285.75,2.9,1.03,"3,476",Banking/Finance
ASTRAMICRO,Astra Microwave Products Limited,EQ,1-Nov-04,INE386C01029,,#N/A,Times Guaranty,Finance - Leasing & Hire Purchase,29.8,0.3,1.02,27,Banking/Finance
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,4-May-01,INE203A01020,,#N/A,MOSt M50 ETF,Finance - Investments,133.5,1.32,1,403,Banking/Finance
ASTRON,Astron Paper & Board Mill Limited,EQ,29-Dec-17,INE646X01014,,#N/A,RBL Bank,Banks - Private Sector,237.85,2.3,0.98,"14,218",Banking/Finance
ATFL,Agro Tech Foods Limited,EQ,6-Dec-02,INE209A01019,,#N/A,Canara Bank,Banks - Public Sector,126.45,1.2,0.96,"18,380",Banking/Finance
ATLANTA,Atlanta  Limited,EQ,25-Sep-06,INE285H01022,,#N/A,Prime Sec,Finance - Investments,47.5,0.45,0.96,126,Banking/Finance
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BZ,23-Oct-96,INE446A01025,,#N/A,ILandFS,Finance - Investments,5.3,0.05,0.95,166,Banking/Finance
ATUL,Atul Limited,EQ,6-May-98,INE100A01010,,#N/A,Indiabulls Hsg,Finance - Housing,194.7,1.8,0.93,"9,002",Banking/Finance
ATULAUTO,Atul Auto Limited,EQ,26-Jun-13,INE951D01028,,#N/A,Crest Ventures,Finance - Housing,96.6,0.8,0.84,275,Banking/Finance
