stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-Apr-96,INE158B01016,,#N/A,Chemfab Alkalis,Chemicals,139,-0.7,-0.5,195,Chemicals 
EKC,Everest Kanto Cylinder Limited,EQ,15-Dec-05,INE184H01027,,#N/A,Oriental Carbon,Chemicals,853.7,-4.5,-0.52,853,Chemicals 
ELECON,Elecon Engineering Company Limited,EQ,29-Sep-06,INE205B01023,,#N/A,Deepak Fert,Fertilisers,163.8,-1,-0.61,"1,682",Chemicals 
ELECTCAST,Electrosteel Castings Limited,EQ,20-Jun-03,INE086A01029,,#N/A,Zuari Global,Fertilisers,62.55,-0.4,-0.64,184,Chemicals 
ELECTHERM,Electrotherm (India) Limited,EQ,20-Aug-07,INE822G01016,,#N/A,GP Petroleums,Lubricants,45.95,-0.3,-0.65,234,Chemicals 
ELGIEQUIP,Elgi Equipments Limited,EQ,22-Nov-95,INE285A01027,,#N/A,Thirumalai Chem,Chemicals,104.6,-0.7,-0.66,"1,071",Chemicals 
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-Aug-11,INE819L01012,,#N/A,Manali Petro,Petrochemicals,34,-0.25,-0.73,585,Chemicals 
EMAMILTD,Emami Limited,EQ,3-Aug-06,INE548C01032,,#N/A,Agri-Tech,Fertilisers,40.75,-0.3,-0.73,24,Chemicals 
EMAMIPAP,Emami Paper Mills Limited,EQ,30-May-19,INE830C01026,,#N/A,Deepak Nitrite,Chemicals,854.7,-6.7,-0.78,"11,658",Chemicals 
EMAMIREAL,Emami Realty Limited,EQ,28-Jul-10,INE778K01012,,#N/A,BASF,Chemicals,1595.7,-13.45,-0.84,"6,907",Chemicals 
EMCO,Emco Limited,BZ,15-Dec-05,INE078A01026,,#N/A,Chemcon Special,Speciality Chemicals,427.45,-3.7,-0.86,"1,566",Chemicals 
EMKAY,Emkay Global Financial Services Limited,EQ,28-Apr-06,INE296H01011,,#N/A,Navin Fluorine,Chemicals,2511.8,-25.1,-0.99,"12,432",Chemicals 
EMMBI,Emmbi Industries Limited,EQ,24-Feb-10,INE753K01015,,#N/A,Seya Industries,Chemicals,67.6,-0.7,-1.02,180,Chemicals 
ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-16,INE913H01037,,#N/A,Kiri Industries,Dyes & Pigments,458,-5.3,-1.14,"1,540",Chemicals 
ENERGYDEV,Energy Development Company Limited,EQ,2-Nov-07,INE306C01019,,#N/A,Kanoria Chem,Chemicals,45,-0.55,-1.21,197,Chemicals 
ENGINERSIN,Engineers India Limited,EQ,20-Aug-97,INE510A01028,,#N/A,Poddar Pigments,Dyes & Pigments,185.35,-2.35,-1.25,197,Chemicals 
ENIL,Entertainment Network (India) Limited,EQ,15-Feb-06,INE265F01028,,Gujarat State Fertilizers & Chemicals Limited,GSFC,Fertilisers,76.55,-1.05,-1.35,"3,050",Chemicals 
EPL,EPL Limited,EQ,11-Feb-02,INE255A01020,,#N/A,Sirca Paints,Paints & Varnishes,245.5,-3.5,-1.41,673,Chemicals 
EQUITAS,Equitas Holdings Limited,EQ,21-Apr-16,INE988K01017,,Southern Petrochemicals Industries Corporation  Limited,SPIC,Fertilisers,22.8,-0.35,-1.51,464,Chemicals 
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,2-Nov-20,INE063P01018,,#N/A,Fineotex Chem,Chemicals,49.3,-0.8,-1.6,546,Chemicals 
ERIS,Eris Lifesciences Limited,EQ,29-Jun-17,INE406M01024,,#N/A,Bodal Chemicals,Dyes & Pigments,76.6,-1.25,-1.61,937,Chemicals 
EROSMEDIA,Eros International Media Limited,EQ,6-Oct-10,INE416L01017,,Neogen Chemicals Limited,Neogen,Chemicals,748.9,-13.15,-1.73,"1,748",Chemicals 
ESABINDIA,Esab India Limited,EQ,1-Nov-95,INE284A01012,,Excel Realty N Infra Limited,Excel,Chemicals,875,-15.55,-1.75,"1,100",Chemicals 
ESCORTS,Escorts Limited,EQ,1-Mar-95,INE042A01014,,#N/A,Oswal ChemandFe,Fertilisers,16.3,-0.3,-1.81,419,Chemicals 
ESSARSHPNG,Essar Shipping Limited,EQ,15-Nov-11,INE122M01019,,#N/A,Refex Ind,Chemicals,107.35,-2.15,-1.96,225,Chemicals 
ESTER,Ester Industries Limited,EQ,20-Jun-11,INE778B01029,,#N/A,Panama Petro,Chemicals,95.35,-3,-3.05,577,Chemicals 
EUROMULTI,Euro Multivision Limited,EQ,15-Oct-09,INE063J01011,,#N/A,Omkar Special,Chemicals,10.45,-0.55,-5,22,Chemicals 
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-Jan-96,INE022C01012,,#N/A,Chromatic India,Dyes & Pigments,0.85,-0.05,-5.56,6,Chemicals 
EVEREADY,Eveready Industries India Limited,EQ,27-Apr-05,INE128A01029,,#N/A,Share India Sec,Diversified,141.15,15.25,12.11,450,Conglomerates
EVERESTIND,Everest Industries Limited,EQ,29-Mar-95,INE295A01018,,#N/A,Aarvi Encon,Diversified,42.5,2.5,6.25,63,Conglomerates
EXCEL,Excel Realty N Infra Limited,BE,3-Aug-09,INE688J01015,,#N/A,AKG Exim,Diversified,54.4,2.7,5.22,58,Conglomerates
EXCELINDUS,Excel Industries Limited,EQ,16-Jun-04,INE369A01029,,#N/A,Agro Phos India,Diversified,18.15,0.85,4.91,37,Conglomerates
EXIDEIND,Exide Industries Limited,EQ,17-Jun-03,INE302A01020,,#N/A,Nava Bharat Ven,Diversified,56.8,2.6,4.8,"1,001",Conglomerates
EXPLEOSOL,Expleo Solutions Limited,EQ,26-Oct-09,INE201K01015,,#N/A,Jash Engineerin,Diversified,228,5.2,2.33,270,Conglomerates
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-95,INE188A01015,,Grasim Industries Limited,Grasim,Diversified,923,20.75,2.3,"60,728",Conglomerates
FCL,Fineotex Chemical Limited,EQ,15-Jan-15,INE045J01026,,#N/A,Madhya Bharat A,Diversified,71,1.5,2.16,156,Conglomerates
FCONSUMER,Future Consumer Limited,EQ,4-Jul-13,INE220J01025,,#N/A,Century,Diversified,379.5,7.1,1.91,"4,239",Conglomerates
FCSSOFT,FCS Software Solutions Limited,EQ,21-Sep-05,INE512B01022,,#N/A,DCM Shriram,Diversified,387.75,5.8,1.52,"6,047",Conglomerates
FDC,FDC Limited,EQ,7-Aug-97,INE258B01022,,#N/A,Marine Electric,,213.85,2.9,1.37,525,Conglomerates
FEDERALBNK,The Federal Bank  Limited,EQ,8-Feb-95,INE171A01029,,#N/A,Kokuyo Camlin,Diversified,67.95,0.9,1.34,682,Conglomerates
FEL,Future Enterprises Limited,EQ,5-Nov-01,INE623B01027,,#N/A,Hindustan Aeron,Diversified,868.3,11.5,1.34,"29,035",Conglomerates
FELDVR,Future Enterprises Limited,EQ,13-Feb-09,IN9623B01058,,#N/A,Prakash Ind,Diversified,56.75,0.7,1.25,974,Conglomerates
FIEMIND,Fiem Industries Limited,EQ,19-Oct-06,INE737H01014,,#N/A,ICICI Lombard,Diversified,1484,17.45,1.19,"67,451",Conglomerates
FILATEX,Filatex India Limited,EQ,29-Aug-11,INE816B01027,,RITES Limited,RITES,Diversified,268.15,3,1.13,"6,444",Conglomerates
FINCABLES,Finolex Cables Limited,EQ,15-Feb-95,INE235A01022,,#N/A,General Insuran,Diversified,143.75,1.5,1.05,"25,220",Conglomerates
FINEORG,Fine Organic Industries Limited,EQ,2-Jul-18,INE686Y01026,,#N/A,Kesoram,Diversified,50.35,0.3,0.6,718,Conglomerates
FINPIPE,Finolex Industries Limited,EQ,8-Feb-95,INE183A01016,,#N/A,Mahindra Logist,Diversified,408.25,2.15,0.53,"2,926",Conglomerates
FLEXITUFF,Flexituff Ventures International Limited,BE,19-Oct-11,INE060J01017,,#N/A,SBI Life Insura,Diversified,851.6,1.9,0.22,"85,164",Conglomerates
FLFL,Future Lifestyle Fashions Limited,EQ,1-Oct-13,INE452O01016,,#N/A,Bombay Dyeing,Textiles - Processing,73.8,0.15,0.2,"1,524",Conglomerates
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-Oct-19,INE09N301011,,Voltas Limited,Voltas,Diversified,806.1,1.2,0.15,"26,673",Conglomerates
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,8-Feb-95,INE529A01010,,#N/A,Mohini Health &,Diversified,18.05,0,0,33,Conglomerates
FMNL,Future Market Networks Limited,EQ,31-Dec-10,INE360L01017,,#N/A,RKEC Projects,Diversified,35.5,0,0,85,Conglomerates
FORCEMOT,FORCE MOTORS LTD,EQ,3-Nov-94,INE451A01017,,#N/A,Shree Ram Proti,Diversified,30.95,0,0,66,Conglomerates
FORTIS,Fortis Healthcare Limited,EQ,9-May-07,INE061F01013,,Indian Energy Exchange Limited,IEX,Diversified,217.1,-0.25,-0.12,"6,503",Conglomerates
FOSECOIND,Foseco India Limited,EQ,5-May-03,INE519A01011,,#N/A,Orient Paper,,20.4,-0.05,-0.24,433,Conglomerates
FRETAIL,Future Retail Limited,EQ,29-Aug-16,INE752P01024,,#N/A,South West Pinn,Diversified,39.05,-0.2,-0.51,109,Conglomerates
FSC,Future Supply Chain Solutions Limited,EQ,18-Dec-17,INE935Q01015,,Nesco Limited,NESCO,Diversified,541.3,-4.15,-0.76,"3,814",Conglomerates
FSL,Firstsource Solutions Limited,EQ,22-Feb-07,INE684F01012,,#N/A,3M India,Diversified,22447,-174.9,-0.77,"25,287",Conglomerates
GABRIEL,Gabriel India Limited,EQ,20-Apr-05,INE524A01029,,#N/A,SecUR Credentia,Diversified,16.65,-0.15,-0.89,8,Conglomerates
GAEL,Gujarat Ambuja Exports Limited,EQ,11-Oct-00,INE036B01030,,#N/A,Husys Consultin,Diversified,96.1,-1.65,-1.69,22,Conglomerates
GAIL,GAIL (India) Limited,EQ,2-Apr-97,INE129A01019,,#N/A,Sintex Ind,Diversified,3.75,-0.15,-3.85,223,Conglomerates
GAL,Gyscoal Alloys Limited,EQ,27-Oct-10,INE482J01021,,#N/A,Debock Sales,Diversified,16.9,-0.85,-4.79,14,Conglomerates
GALAXYSURF,Galaxy Surfactants Limited,EQ,8-Feb-18,INE600K01018,,#N/A,IFB Industries,Consumer Goods - White Goods,1157,125.25,12.14,"4,688",Cons Durable
GALLANTT,Gallantt Metal Limited,EQ,4-Apr-06,INE297H01019,,#N/A,Butterfly,Domestic Appliances,440,9.6,2.23,787,Cons Durable
GALLISPAT,Gallantt Ispat Limited,EQ,11-Oct-10,INE528K01029,,Whirlpool of India Limited,Whirlpool,Consumer Goods - White Goods,2119,34.4,1.65,"26,884",Cons Durable
GAMMNINFRA,Gammon Infrastructure Projects Limited,EQ,3-Apr-08,INE181G01025,,Symphony Limited,Symphony,Consumer Goods - White Goods,913,9.75,1.08,"6,387",Cons Durable
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-Jan-07,INE524B01027,,#N/A,Sujana Uni,Domestic Appliances,0.45,0,0,8,Cons Durable
GANECOS,Ganesha Ecosphere Limited,EQ,9-Mar-15,INE845D01014,,#N/A,Blue Star,Consumer Goods - White Goods,789.5,-0.95,-0.12,"7,604",Cons Durable
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,2-Mar-07,INE460C01014,,#N/A,TTK Prestige,Domestic Appliances,5732.1,-25.25,-0.44,"7,945",Cons Durable
GANGESSECU,Ganges Securities Limited,EQ,28-Jul-17,INE335W01016,,#N/A,Bajaj Electric,Domestic Appliances,599.05,-3.3,-0.55,"6,821",Cons Durable
GARDENSILK,Garden Silk Mills Limited,EQ,1-Apr-03,INE526A01016,,#N/A,JHS Svendgaard,Personal Care,22,2,10,134,Consumer-Non Durable 
GARFIBRES,Garware Technical Fibres Limited,EQ,3-Apr-07,INE276A01018,,#N/A,Mirc Electronic,Consumer Goods - Electronic,10.65,0.95,9.79,246,Consumer-Non Durable 
GATI,GATI Limited,EQ,10-Oct-06,INE152B01027,,#N/A,Khadim India,Leather Products,134,8.7,6.94,241,Consumer-Non Durable 
GAYAHWS,Gayatri Highways Limited,EQ,28-Jun-18,INE287Z01012,,#N/A,Jindal Photo,Consumer Goods - Electronic,32.2,1.5,4.89,33,Consumer-Non Durable 
GAYAPROJ,Gayatri Projects Limited,EQ,22-Aug-11,INE336H01023,,#N/A,Videocon Ind,Consumer Goods - Electronic,7.85,0.35,4.67,263,Consumer-Non Durable 
GBGLOBAL,GB Global Limited,EQ,4-Jun-19,INE087J01028,,#N/A,D P Wires,Consumer Goods - Electronic,86,2.75,3.3,117,Consumer-Non Durable 
GDL,Gateway Distriparks Limited,EQ,31-Mar-05,INE852F01015,,#N/A,PG Electroplast,Consumer Goods - Electronic,162,4.55,2.89,316,Consumer-Non Durable 
GEECEE,GeeCee Ventures Limited,EQ,4-Oct-06,INE916G01016,,#N/A,Gillette India,Personal Care,6035.65,126,2.13,"19,667",Consumer-Non Durable 
GEEKAYWIRE,Geekay Wires Limited,BE,6-Mar-20,INE669X01016,,#N/A,Bata India,Leather Products,1582.3,23.05,1.48,"20,337",Consumer-Non Durable 
GENESYS,Genesys International Corporation Limited,EQ,23-Jan-03,INE727B01026,,#N/A,Colgate,Personal Care,1592.35,18.05,1.15,"43,310",Consumer-Non Durable 
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-Feb-15,INE949P01018,,#N/A,Jyothy Labs,Personal Care,142.4,1.1,0.78,"5,229",Consumer-Non Durable 
GENUSPOWER,Genus Power Infrastructures Limited,EQ,8-Jul-05,INE955D01029,,#N/A,Sreeleathers,Leather Products,149.95,1.1,0.74,377,Consumer-Non Durable 
GEOJITFSL,Geojit Financial Services Limited,EQ,1-Jul-05,INE007B01023,,#N/A,Dabur India,Personal Care,517.3,3.5,0.68,"91,429",Consumer-Non Durable 
GEPIL,GE Power India Limited,EQ,19-Apr-00,INE878A01011,,#N/A,Emami,Personal Care,430.15,2.85,0.67,"19,121",Consumer-Non Durable 
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-Nov-06,INE017A01032,,#N/A,Relaxo Footwear,Leather Products,742.9,3.9,0.53,"18,457",Consumer-Non Durable 
GET&D,GE T&D India Limited,EQ,30-Jun-08,INE200A01026,,#N/A,P and G,Personal Care,11390,56.1,0.49,"36,973",Consumer-Non Durable 
GFLLIMITED,GFL Limited,EQ,25-May-95,INE538A01037,,#N/A,Eveready Ind,Dry Cells,196,0.95,0.49,"1,425",Consumer-Non Durable 
GFSTEELS,Grand Foundry Limited,EQ,22-Jul-19,INE534A01028,,#N/A,BPL,Consumer Goods - Electronic,22.9,0.1,0.44,112,Consumer-Non Durable 
GHCL,GHCL Limited,EQ,31-Jul-03,INE539A01019,,#N/A,Godrej Consumer,Personal Care,729.35,2.75,0.38,"74,575",Consumer-Non Durable 
GICHSGFIN,GIC Housing Finance Limited,EQ,8-May-96,INE289B01019,,Marico Limited,Marico,Personal Care,416.35,1.4,0.34,"53,761",Consumer-Non Durable 
GICRE,General Insurance Corporation of India,EQ,25-Oct-17,INE481Y01014,,#N/A,Geekay Wires,Consumer Goods - Electronic,64,0.1,0.16,67,Consumer-Non Durable 
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-Dec-09,INE047B01011,,#N/A,Indo-National,Dry Cells,644.3,0.75,0.12,242,Consumer-Non Durable 
GILLETTE,Gillette India Limited,EQ,30-Jul-03,INE322A01010,,#N/A,Sanwaria Consum,Personal Care,1.6,0,0,118,Consumer-Non Durable 
GINNIFILA,Ginni Filaments Limited,EQ,10-May-95,INE424C01010,,#N/A,Godrej Ind,Personal Care,452.3,-0.35,-0.08,"15,221",Consumer-Non Durable 
GIPCL,Gujarat Industries Power Company Limited,EQ,8-Feb-95,INE162A01010,,#N/A,HUL,Personal Care,2360.1,-14.65,-0.62,"554,519",Consumer-Non Durable 
GISOLUTION,GI Engineering Solutions Limited,EQ,30-Jan-09,INE065J01016,,#N/A,Bhartiya Inter,Leather Products,153,-1.55,-1,187,Consumer-Non Durable 
GKWLIMITED,GKW Limited,EQ,20-Jul-09,INE528A01020,,Superhouse Limited,Superhouse,Leather Products,119.45,-1.65,-1.36,136,Consumer-Non Durable 
GLAND,Gland Pharma Limited,EQ,20-Nov-20,INE068V01023,,#N/A,Liberty Shoes,Leather Products,152.55,-2.75,-1.77,260,Consumer-Non Durable 
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-00,INE159A01016,,#N/A,Mirza Intl,Leather Products,57.6,-1.1,-1.87,693,Consumer-Non Durable 
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,7-Feb-00,INE935A01035,,#N/A,Transformers,Power - Transmission & Equipment,22.75,2,9.64,302,Engineering 
GLFL,Gujarat Lease Financing Limited,EQ,8-Feb-95,INE540A01017,,#N/A,Neueon Towers,Power - Transmission & Equipment,1.15,0.1,9.52,7,Engineering 
GLOBAL,Global Education Limited,EQ,7-Dec-20,INE291W01011,,#N/A,Indian Card,Textiles - Machinery,113,7.3,6.91,67,Engineering 
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-Oct-06,INE792H01019,,#N/A,Elgi Equipments,Compressors,164.5,9.1,5.86,"5,213",Engineering 
GLOBE,Globe Textiles (India) Limited,EQ,7-Oct-20,INE581X01013,,#N/A,Diamond Power,Cables - Power & Others,0.95,0.05,5.56,26,Engineering 
GLOBOFFS,Global Offshore Services Limited,EQ,3-May-07,INE446C01013,,#N/A,Ahlada Engineer,Infrastructure - General,86.75,4.1,4.96,112,Engineering 
GLOBUSSPR,Globus Spirits Limited,EQ,23-Sep-09,INE615I01010,,#N/A,Marshall Machin,Machine Tools,11.7,0.55,4.93,17,Engineering 
GMBREW,GM Breweries Limited,EQ,23-Aug-95,INE075D01018,,#N/A,Manaksia Coated,Steel - Medium & Small,6.6,0.3,4.76,43,Engineering 
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-97,INE131A01031,,#N/A,Jaiprakash Asso,Infrastructure - General,7.9,0.35,4.64,"1,922",Engineering 
GMMPFAUDLR,GMM Pfaudler Limited,EQ,5-Mar-18,INE541A01023,,#N/A,Graphite India,Electrodes & Graphite,291.2,12.85,4.62,"5,689",Engineering 
GMRINFRA,GMR Infrastructure Limited,EQ,21-Aug-06,INE776C01039,,#N/A,Jyoti Structure,Power - Transmission & Equipment,4.6,0.2,4.55,50,Engineering 
GNA,GNA Axles Limited,EQ,26-Sep-16,INE934S01014,,#N/A,Bright Solar,Pumps,7,0.3,4.48,14,Engineering 
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-95,INE113A01013,,#N/A,NRB Industrial,Bearings,9.4,0.4,4.44,23,Engineering 
GOACARBON,Goa Carbon Limited,BE,5-Jun-07,INE426D01013,,#N/A,Lakshmi Machine,Textiles - Machinery,4539.85,191.95,4.41,"4,850",Engineering 
GOCLCORP,GOCL Corporation Limited,EQ,26-Jun-14,INE077F01035,,Premier Limited,Premier,Engineering,3.55,0.15,4.41,11,Engineering 
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-Jul-96,INE260B01028,,#N/A,Jaypee Infra,Infrastructure - General,2.5,0.1,4.17,347,Engineering 
GODREJAGRO,Godrej Agrovet Limited,EQ,16-Oct-17,INE850D01014,,#N/A,SKIL Infra,Infrastructure - General,2.55,0.1,4.08,55,Engineering 
GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-01,INE102D01028,,#N/A,Suzlon Energy,Power - Generation & Distribution,4,0.15,3.9,"3,334",Engineering 
GODREJIND,Godrej Industries Limited,EQ,25-Feb-03,INE233A01035,,#N/A,NRB Bearings,Bearings,92.5,3.35,3.76,897,Engineering 
GODREJPROP,Godrej Properties Limited,EQ,5-Jan-10,INE484J01027,,#N/A,GE Power India,Power - Transmission & Equipment,301.8,10.6,3.64,"2,029",Engineering 
GOENKA,Goenka Diamond and Jewels Limited,BZ,16-Apr-10,INE516K01024,,#N/A,NBCC (India),Infrastructure - General,30.7,1.05,3.54,"5,526",Engineering 
GOKEX,Gokaldas Exports Limited,EQ,27-Apr-05,INE887G01027,,HEG Limited,HEG,Electrodes & Graphite,867.85,27.35,3.25,"3,350",Engineering 
GOKUL,Gokul Refoils and Solvent Limited,EQ,4-Jun-08,INE020J01029,,#N/A,Emco,Electric Equipment,1.6,0.05,3.23,11,Engineering 
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-Mar-16,INE314T01025,,#N/A,Esab India,Electrodes & Graphite,1587,48.95,3.18,"2,443",Engineering 
GOLDENTOBC,Golden Tobacco Limited,EQ,8-Feb-95,INE973A01010,,#N/A,MEP Infra,Infrastructure - General,18.35,0.5,2.8,337,Engineering 
GOLDIAM,Goldiam International Limited,EQ,29-Aug-05,INE025B01017,,#N/A,ILandFS Trans,Infrastructure - General,1.9,0.05,2.7,63,Engineering 
GOLDTECH,Goldstone Technologies Limited,EQ,11-Apr-01,INE805A01014,,#N/A,Punj Lloyd,Infrastructure - General,2,0.05,2.56,67,Engineering 
GOODLUCK,Goodluck India Limited,EQ,8-Jan-15,INE127I01024,,#N/A,Garden Reach Sh,Engineering - Heavy,199.4,4.95,2.55,"2,284",Engineering 
GOODYEAR,Goodyear India Limited,EQ,28-Dec-94,INE533A01012,,#N/A,Va Tech Wabag,Infrastructure - General,204.25,4.95,2.48,"1,270",Engineering 
GPIL,Godawari Power And Ispat limited,EQ,25-Apr-06,INE177H01013,,#N/A,Manugraph Ind,Engineering,12.55,0.3,2.45,38,Engineering 
GPPL,Gujarat Pipavav Port Limited,EQ,9-Sep-10,INE517F01014,,#N/A,WS Industries,Electric Equipment,4.3,0.1,2.38,11,Engineering 
GPTINFRA,GPT Infraprojects Limited,EQ,11-Jul-16,INE390G01014,,#N/A,Orient Abrasive,Abrasives,22.45,0.5,2.28,269,Engineering 
GRANULES,Granules India Limited,EQ,20-Jun-05,INE101D01020,,#N/A,Veto Switch,Electric Equipment,85.55,1.9,2.27,164,Engineering 
GRAPHITE,Graphite India Limited,EQ,7-Feb-03,INE371A01025,,#N/A,Aakash Explorat,Engineering - Heavy,58.95,1.25,2.17,60,Engineering 
GRASIM,Grasim Industries Limited,EQ,10-May-95,INE047A01021,,#N/A,KSB Pumps,Pumps,626.45,13.05,2.13,"2,181",Engineering 
GRAVITA,Gravita India Limited,EQ,16-Nov-10,INE024L01027,,#N/A,Larsen,Infrastructure - General,1219.2,24.9,2.08,"171,207",Engineering 
GREAVESCOT,Greaves Cotton Limited,EQ,9-Sep-04,INE224A01026,,#N/A,KEC Intl,Power - Transmission & Equipment,374.35,7.35,2,"9,624",Engineering 
GREENLAM,Greenlam Industries Limited,EQ,2-Mar-15,INE544R01013,,#N/A,EngineersInd,Infrastructure - General,76.9,1.5,1.99,"4,859",Engineering 
GREENPANEL,Greenpanel Industries Limited,EQ,23-Oct-19,INE08ZM01014,,#N/A,Salasar Techno,Engineering,225.05,4.05,1.83,299,Engineering 
GREENPLY,Greenply Industries Limited,EQ,6-Mar-96,INE461C01038,,#N/A,Ujaas Energy,Power - Transmission & Equipment,3,0.05,1.69,60,Engineering 
GREENPOWER,Orient Green Power Company Limited,EQ,8-Oct-10,INE999K01014,,#N/A,Electrotherm,Engineering,122.05,1.9,1.58,156,Engineering 
GRINDWELL,Grindwell Norton Limited,EQ,11-Sep-06,INE536A01023,,#N/A,Honda India PP,Electric Equipment,1042,16.05,1.56,"1,057",Engineering 
GROBTEA,The Grob Tea Company Limited,EQ,14-Jul-16,INE646C01018,,#N/A,Eimco Elecon,Engineering - Heavy,345.35,4.6,1.35,199,Engineering 
GRPLTD,GRP Limited,EQ,12-Feb-15,INE137I01015,,#N/A,Texmaco Infra,Infrastructure - General,42.6,0.55,1.31,543,Engineering 
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-18,INE382Z01011,,#N/A,Dynamatic Tech,Pumps,826.3,9.75,1.19,524,Engineering 
GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ,15-May-13,INE542A01039,,#N/A,Shriram EPC,Engineering - Heavy,4.3,0.05,1.18,418,Engineering 
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,6-Sep-95,INE026A01025,,#N/A,Menon Bearings,Bearings,49.25,0.55,1.13,276,Engineering 
GSPL,Gujarat State Petronet Limited,EQ,16-Feb-06,INE246F01010,,#N/A,Cummins,Engines,589,6.35,1.09,"16,327",Engineering 
GSS,GSS Infotech Limited,EQ,7-Mar-08,INE871H01011,,#N/A,Kirl Electric,Electric Equipment,15.55,0.15,0.97,103,Engineering 
GTL,GTL Limited,EQ,29-Mar-95,INE043A01012,,#N/A,Salzer Electro,Electric Equipment,130.95,1.25,0.96,209,Engineering 
GTLINFRA,GTL Infrastructure Limited,EQ,9-Nov-06,INE221H01019,,#N/A,Varroc Engineer,Engineering - Heavy,410.15,3.4,0.84,"5,529",Engineering 
GTNIND,GTN Industries Limited,EQ,2-Aug-95,INE537A01013,,#N/A,Sanghvi Movers,Engineering - Heavy,106.35,0.85,0.81,460,Engineering 
GTNTEX,GTN Textiles Limited,EQ,18-May-06,INE302H01017,,#N/A,Cords Cable Ind,Cables - Power & Others,43.95,0.35,0.8,57,Engineering 
GTPL,GTPL Hathway Limited,EQ,4-Jul-17,INE869I01013,,Mazda Limited,Mazda,Engineering,551.05,4.15,0.76,221,Engineering 
GUFICBIO,Gufic Biosciences Limited,EQ,19-Oct-04,INE742B01025,,#N/A,BEML,Infrastructure - General,776.7,5.3,0.69,"3,235",Engineering 
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,7-Aug-97,INE186A01019,,#N/A,Kirloskar Bros,Pumps,133,0.85,0.64,"1,056",Engineering 
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,4-Jun-07,INE826C01016,,#N/A,Sadbhav Engg,Infrastructure - General,64.4,0.4,0.63,"1,105",Engineering 
GUJGASLTD,Gujarat Gas Limited,EQ,15-Sep-15,INE844O01030,,#N/A,Ador Welding,Electrodes & Graphite,263.5,1.6,0.61,358,Engineering 
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,9-Oct-96,INE610B01024,,#N/A,LG Balakrishnan,Auto Ancillaries,277.8,1.65,0.6,872,Engineering 
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-Jul-14,INE635Q01029,,#N/A,Greaves Cotton,Engines,83.95,0.45,0.54,"1,941",Engineering 
GULFPETRO,GP Petroleums Limited,EQ,24-Sep-04,INE586G01017,,#N/A,HPL Electric &,Electric Equipment,38.45,0.2,0.52,247,Engineering 
GULPOLY,Gulshan Polyols Limited,EQ,28-Jan-15,INE255D01024,,#N/A,BHEL,Infrastructure - General,36.1,0.15,0.42,"12,570",Engineering 
GVKPIL,GVK Power  Limited,BZ,27-Feb-06,INE251H01024,,#N/A,Kabra Extrusion,Engineering - Heavy,94,0.35,0.37,300,Engineering 
HAL,Hindustan Aeronautics Limited,EQ,28-Mar-18,INE066F01012,,#N/A,Bharat Bijlee,Electric Equipment,921.3,3.05,0.33,521,Engineering 
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-Sep-20,INE419U01012,,#N/A,Shanthi Gears,Auto Ancillaries,125.4,0.4,0.32,962,Engineering 
HARITASEAT,Harita Seating Systems Limited,EQ,6-Apr-09,INE939D01015,,#N/A,HG Infra Engg,Infrastructure - General,223.5,0.7,0.31,"1,457",Engineering 
HARRMALAYA,Harrisons  Malayalam Limited,EQ,8-Feb-95,INE544A01019,,#N/A,Swaraj Engines,Engines,1437.1,2.85,0.2,"1,744",Engineering 
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-Feb-10,INE982F01036,,#N/A,Titagarh Wagons,Infrastructure - General,51.45,0.1,0.19,614,Engineering 
